Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
0,0,0,0,0,0,2024-08-05 09:30 AM
1954,23,6.2,61,5.72,5.96,2024-08-05 09:31 AM
1953,0,0.24,-38,0.21,0.23,2024-08-05 09:32 AM
1952,-11,-0.5,-18,-0.23,-0.37,2024-08-05 09:33 AM
1951,10,0.01,13,-0.25,-0.12,2024-08-05 09:34 AM
1950,-3,-0.21,1,-0.12,-0.16,2024-08-05 09:35 AM
1949,-1,-0.1,0,-0.03,-0.07,2024-08-05 09:36 AM
1948,-2,0.21,0,0.22,0.21,2024-08-05 09:37 AM
1947,7,-0.08,4,-0.03,-0.05,2024-08-05 09:38 AM
1946,6,-0.11,0,-0.01,-0.06,2024-08-05 09:39 AM
1945,-24,0.29,33,0.22,0.26,2024-08-05 09:40 AM
1944,71,-0.42,4,-0.45,-0.44,2024-08-05 09:41 AM
1943,2,-0.2,14,-0.2,-0.2,2024-08-05 09:42 AM
1942,-22,-0.04,-18,-0.04,-0.04,2024-08-05 09:43 AM
1941,0,0.23,-55,0.24,0.23,2024-08-05 09:44 AM
1940,-46,0.32,9,-0.2,0.07,2024-08-05 09:45 AM
1939,68,0.18,-8,0.78,0.47,2024-08-05 09:46 AM
1938,-22,-0.02,124,-0.15,-0.08,2024-08-05 09:47 AM
1937,-50,-0.06,-70,0.0,-0.03,2024-08-05 09:48 AM
1936,71,0.04,-55,0.04,0.04,2024-08-05 09:49 AM
1935,-21,0.02,0,0.08,0.05,2024-08-05 09:50 AM
1934,-54,0.0,77,-0.08,-0.04,2024-08-05 09:51 AM
1933,44,-0.08,-35,-0.01,-0.05,2024-08-05 09:52 AM
1932,-3,-0.04,-31,-0.03,-0.03,2024-08-05 09:53 AM
1931,-42,-0.38,-5,-0.33,-0.36,2024-08-05 09:54 AM
1930,42,0.08,36,0.04,0.06,2024-08-05 09:55 AM
1929,3,-0.12,3,-0.12,-0.11,2024-08-05 09:56 AM
1928,-3,0.2,-3,0.2,0.19,2024-08-05 09:57 AM
1927,16,-0.07,1,-0.07,-0.06,2024-08-05 09:58 AM
1926,-16,0.05,12,0.04,0.04,2024-08-05 09:59 AM
1925,-33,0.65,-40,-0.38,0.13,2024-08-05 10:00 AM
1924,10,1.21,14,1.19,1.21,2024-08-05 10:01 AM
1923,17,-0.35,-20,0.71,0.17,2024-08-05 10:02 AM
1922,0,-0.28,30,-0.29,-0.28,2024-08-05 10:03 AM
1921,0,-0.23,-3,-0.23,-0.23,2024-08-05 10:04 AM
1920,0,0.02,7,0.02,0.02,2024-08-05 10:05 AM
1919,9,-0.04,-7,-0.03,-0.03,2024-08-05 10:06 AM
1918,-6,-0.1,8,-0.1,-0.11,2024-08-05 10:07 AM
1917,5,-0.01,22,-0.02,-0.01,2024-08-05 10:08 AM
1916,-8,-0.06,-24,-0.05,-0.05,2024-08-05 10:09 AM
1915,9,-0.16,0,-0.15,-0.16,2024-08-05 10:10 AM
1914,4,-0.21,26,-0.23,-0.22,2024-08-05 10:11 AM
1913,-7,0.07,-65,0.09,0.08,2024-08-05 10:12 AM
1912,0,-0.39,65,-0.4,-0.39,2024-08-05 10:13 AM
1911,0,0.3,-17,0.3,0.29,2024-08-05 10:14 AM
1910,3,0.18,-30,0.19,0.19,2024-08-05 10:15 AM
1909,0,-0.19,21,-0.21,-0.2,2024-08-05 10:16 AM
1908,-3,-0.02,21,-0.02,-0.02,2024-08-05 10:17 AM
1907,58,0.13,18,0.13,0.13,2024-08-05 10:18 AM
1906,-83,0.04,-45,0.06,0.05,2024-08-05 10:19 AM
1905,32,0.0,24,-0.02,-0.01,2024-08-05 10:20 AM
1904,-7,-0.27,-5,-0.27,-0.27,2024-08-05 10:21 AM
1903,-31,-0.03,-36,-0.03,-0.03,2024-08-05 10:22 AM
1902,41,-0.21,-10,-0.2,-0.2,2024-08-05 10:23 AM
1901,-7,-0.18,36,-0.2,-0.2,2024-08-05 10:24 AM
1900,0,0.13,-12,0.15,0.14,2024-08-05 10:25 AM
1899,37,0.15,76,0.13,0.15,2024-08-05 10:26 AM
1898,-14,-0.08,-49,-0.08,-0.08,2024-08-05 10:27 AM
1897,-57,-0.28,-60,-0.25,-0.27,2024-08-05 10:28 AM
1896,114,-0.02,42,-0.05,-0.04,2024-08-05 10:29 AM
1895,-83,-0.29,12,-0.32,-0.3,2024-08-05 10:30 AM
1894,3,0.01,-12,0.05,0.03,2024-08-05 10:31 AM
1893,18,0.33,55,0.32,0.33,2024-08-05 10:32 AM
1892,-52,-0.31,-97,-0.25,-0.28,2024-08-05 10:33 AM
1891,31,0.38,80,0.33,0.35,2024-08-05 10:34 AM
1890,-42,0.39,-57,0.48,0.44,2024-08-05 10:35 AM
1889,8,0.03,66,-0.05,-0.01,2024-08-05 10:36 AM
1888,52,-0.07,-39,-0.08,-0.08,2024-08-05 10:37 AM
1887,-6,-0.19,-26,-0.19,-0.19,2024-08-05 10:38 AM
1886,5,0.23,-8,0.25,0.24,2024-08-05 10:39 AM
1885,-17,0.02,-14,0.07,0.05,2024-08-05 10:40 AM
1884,3,-0.29,38,-0.32,-0.31,2024-08-05 10:41 AM
1883,6,0.07,16,0.06,0.06,2024-08-05 10:42 AM
1882,-9,-0.03,8,-0.05,-0.03,2024-08-05 10:43 AM
1881,10,-0.14,-49,-0.07,-0.11,2024-08-05 10:44 AM
1880,29,-0.11,15,-0.14,-0.12,2024-08-05 10:45 AM
1879,-26,0.11,-11,0.08,0.09,2024-08-05 10:46 AM
1878,-12,0.04,23,0.04,0.04,2024-08-05 10:47 AM
1877,17,-0.19,-41,-0.12,-0.15,2024-08-05 10:48 AM
1876,-36,0.18,8,0.13,0.15,2024-08-05 10:49 AM
1875,21,-0.32,10,-0.28,-0.3,2024-08-05 10:50 AM
1874,0,-0.21,-4,-0.21,-0.21,2024-08-05 10:51 AM
1873,46,0.17,49,0.11,0.14,2024-08-05 10:52 AM
1872,-40,0.33,-25,0.38,0.35,2024-08-05 10:53 AM
1871,-41,0.59,-3,0.57,0.58,2024-08-05 10:54 AM
1870,26,-0.01,-33,-0.02,-0.01,2024-08-05 10:55 AM
1869,9,-0.35,12,-0.34,-0.34,2024-08-05 10:56 AM
1868,-3,-0.07,0,-0.1,-0.09,2024-08-05 10:57 AM
1867,13,-0.34,0,-0.31,-0.33,2024-08-05 10:58 AM
1866,-13,-0.05,-1,-0.05,-0.04,2024-08-05 10:59 AM
1865,-26,0.06,71,-0.04,0.0,2024-08-05 11:00 AM
1864,-16,-0.16,-35,-0.09,-0.12,2024-08-05 11:01 AM
1863,92,-0.21,-8,-0.21,-0.21,2024-08-05 11:02 AM
1862,-50,0.08,-30,0.15,0.12,2024-08-05 11:03 AM
1861,8,0.33,20,0.29,0.3,2024-08-05 11:04 AM
1860,-5,-0.22,18,-0.22,-0.22,2024-08-05 11:05 AM
1859,-45,0.16,-38,0.18,0.17,2024-08-05 11:06 AM
1858,80,0.09,-3,0.08,0.09,2024-08-05 11:07 AM
1857,-28,0.3,2,0.29,0.29,2024-08-05 11:08 AM
1856,6,0.49,42,0.48,0.49,2024-08-05 11:09 AM
1855,-58,-0.15,-38,-0.09,-0.12,2024-08-05 11:10 AM
1854,108,0.05,-7,0.0,0.02,2024-08-05 11:11 AM
1853,-55,0.36,6,0.41,0.39,2024-08-05 11:12 AM
1852,18,-0.17,86,-0.23,-0.2,2024-08-05 11:13 AM
1851,-13,-0.3,-79,-0.3,-0.3,2024-08-05 11:14 AM
1850,82,0.21,-16,0.22,0.22,2024-08-05 11:15 AM
1849,-139,0.01,6,0.1,0.05,2024-08-05 11:16 AM
1848,52,-0.24,71,-0.32,-0.28,2024-08-05 11:17 AM
1847,15,0.32,-65,0.38,0.35,2024-08-05 11:18 AM
1846,-15,-0.03,-8,-0.06,-0.04,2024-08-05 11:19 AM
1845,0,-0.21,23,-0.22,-0.22,2024-08-05 11:20 AM
1844,53,0.28,-26,0.29,0.28,2024-08-05 11:21 AM
1843,40,0.05,212,0.01,0.03,2024-08-05 11:22 AM
1842,-146,0.01,-218,0.08,0.05,2024-08-05 11:23 AM
1841,1,0.1,0,0.07,0.08,2024-08-05 11:24 AM
1840,10,-0.04,0,-0.06,-0.04,2024-08-05 11:25 AM
1839,-11,-0.03,0,-0.04,-0.04,2024-08-05 11:26 AM
1838,132,-0.08,111,-0.09,-0.09,2024-08-05 11:27 AM
1837,-111,-0.4,-32,-0.37,-0.38,2024-08-05 11:28 AM
1836,-5,0.01,20,0.0,0.01,2024-08-05 11:29 AM
1835,37,-0.11,-73,-0.1,-0.11,2024-08-05 11:30 AM
1834,-37,0.14,27,0.12,0.13,2024-08-05 11:31 AM
1833,-5,-0.07,-9,-0.07,-0.07,2024-08-05 11:32 AM
1832,-1,0.17,-2,0.24,0.2,2024-08-05 11:33 AM
1831,58,0.07,37,-0.01,0.04,2024-08-05 11:34 AM
1830,-15,-0.22,-79,-0.17,-0.2,2024-08-05 11:35 AM
1829,30,-0.12,0,-0.12,-0.12,2024-08-05 11:36 AM
1828,-48,0.39,87,0.35,0.37,2024-08-05 11:37 AM
1827,23,0.4,-87,0.46,0.43,2024-08-05 11:38 AM
1826,-55,0.0,7,-0.05,-0.03,2024-08-05 11:39 AM
1825,50,-0.25,78,-0.27,-0.26,2024-08-05 11:40 AM
1824,-32,-0.14,-85,-0.16,-0.14,2024-08-05 11:41 AM
1823,1,-0.09,62,-0.32,-0.21,2024-08-05 11:42 AM
1822,-17,-0.13,-53,0.12,0.0,2024-08-05 11:43 AM
1821,0,-0.12,44,-0.12,-0.13,2024-08-05 11:44 AM
1820,17,-0.02,0,0.0,-0.01,2024-08-05 11:45 AM
1819,16,-0.04,-53,-0.02,-0.03,2024-08-05 11:46 AM
1818,-31,0.22,0,0.23,0.23,2024-08-05 11:47 AM
1817,3,-0.07,21,-0.1,-0.08,2024-08-05 11:48 AM
1816,35,-0.03,-21,0.0,-0.02,2024-08-05 11:49 AM
1815,-39,-0.16,61,-0.17,-0.17,2024-08-05 11:50 AM
1814,0,-0.25,-61,-0.24,-0.24,2024-08-05 11:51 AM
1813,-5,0.22,6,0.22,0.22,2024-08-05 11:52 AM
1812,19,0.17,47,0.15,0.16,2024-08-05 11:53 AM
1811,25,-0.09,-36,-0.09,-0.09,2024-08-05 11:54 AM
1810,-1,0.1,8,0.11,0.1,2024-08-05 11:55 AM
1809,33,0.05,-25,0.04,0.05,2024-08-05 11:56 AM
1808,-72,-0.21,0,-0.2,-0.2,2024-08-05 11:57 AM
1807,41,-0.09,74,-0.11,-0.11,2024-08-05 11:58 AM
1806,-46,0.05,-21,0.07,0.07,2024-08-05 11:59 AM
1805,52,0.11,0,0.08,0.09,2024-08-05 12:00 PM
1804,-49,-0.13,-53,-0.07,-0.1,2024-08-05 12:01 PM
1803,5,-0.1,29,-0.14,-0.12,2024-08-05 12:02 PM
1802,-8,0.21,49,0.23,0.22,2024-08-05 12:03 PM
1801,20,0.34,-67,0.35,0.34,2024-08-05 12:04 PM
1800,9,-0.09,15,-0.12,-0.1,2024-08-05 12:05 PM
1799,-25,-0.1,27,-0.05,-0.08,2024-08-05 12:06 PM
1798,4,0.26,-53,0.24,0.25,2024-08-05 12:07 PM
1797,31,0.11,33,0.08,0.1,2024-08-05 12:08 PM
1796,16,0.02,5,0.02,0.02,2024-08-05 12:09 PM
1795,-45,0.02,-38,0.04,0.03,2024-08-05 12:10 PM
1794,-6,-0.07,0,-0.05,-0.06,2024-08-05 12:11 PM
1793,6,0.01,3,-0.01,0.0,2024-08-05 12:12 PM
1792,15,-0.02,62,-0.03,-0.02,2024-08-05 12:13 PM
1791,-25,0.27,24,0.29,0.27,2024-08-05 12:14 PM
1790,23,-0.03,-65,-0.01,-0.01,2024-08-05 12:15 PM
1789,-11,0.11,119,0.08,0.09,2024-08-05 12:16 PM
1788,2,0.04,-71,0.03,0.04,2024-08-05 12:17 PM
1787,-6,0.18,15,0.2,0.19,2024-08-05 12:18 PM
1786,-1,0.09,27,0.08,0.08,2024-08-05 12:19 PM
1785,61,0.2,-46,0.17,0.18,2024-08-05 12:20 PM
1784,-36,-0.21,-45,-0.18,-0.19,2024-08-05 12:21 PM
1783,36,0.08,-18,0.11,0.1,2024-08-05 12:22 PM
1782,-61,0.1,48,0.08,0.09,2024-08-05 12:23 PM
1781,55,0.13,-14,0.13,0.13,2024-08-05 12:24 PM
1780,-27,0.14,19,0.11,0.12,2024-08-05 12:25 PM
1779,58,0.0,-17,0.03,0.01,2024-08-05 12:26 PM
1778,-58,0.21,16,0.19,0.2,2024-08-05 12:27 PM
1777,23,0.14,-22,0.17,0.16,2024-08-05 12:28 PM
1776,-43,0.21,29,0.21,0.21,2024-08-05 12:29 PM
1775,72,0.13,-25,0.12,0.12,2024-08-05 12:30 PM
1774,-70,-0.28,-20,-0.25,-0.26,2024-08-05 12:31 PM
1773,36,-0.21,7,-0.2,-0.2,2024-08-05 12:32 PM
1772,6,-0.07,82,-0.1,-0.09,2024-08-05 12:33 PM
1771,-34,-0.28,-90,-0.23,-0.25,2024-08-05 12:34 PM
1770,53,-0.01,0,-0.04,-0.03,2024-08-05 12:35 PM
1769,-24,-0.13,-1,-0.12,-0.12,2024-08-05 12:36 PM
1768,-15,-0.08,36,-0.1,-0.09,2024-08-05 12:37 PM
1767,-20,-0.21,-35,-0.19,-0.21,2024-08-05 12:38 PM
1766,38,0.0,-1,0.02,0.01,2024-08-05 12:39 PM
1765,-57,-0.04,54,-0.07,-0.05,2024-08-05 12:40 PM
1764,13,-0.03,-47,-0.04,-0.03,2024-08-05 12:41 PM
1763,-5,0.12,52,0.12,0.12,2024-08-05 12:42 PM
1762,10,0.21,25,0.2,0.2,2024-08-05 12:43 PM
1761,36,-0.35,-30,-0.35,-0.35,2024-08-05 12:44 PM
1760,-1,-0.05,-52,-0.03,-0.04,2024-08-05 12:45 PM
1759,-35,-0.03,3,-0.04,-0.04,2024-08-05 12:46 PM
1758,-14,-0.2,46,-0.2,-0.19,2024-08-05 12:47 PM
1757,-1,-0.01,-68,0.02,0.0,2024-08-05 12:48 PM
1756,-3,-0.01,75,-0.03,-0.02,2024-08-05 12:49 PM
1755,9,-0.01,-22,-0.01,-0.01,2024-08-05 12:50 PM
1754,-7,-0.2,-44,-0.2,-0.2,2024-08-05 12:51 PM
1753,128,0.16,11,0.16,0.16,2024-08-05 12:52 PM
1752,-120,-0.05,15,-0.05,-0.05,2024-08-05 12:53 PM
1751,-10,-0.06,-11,-0.05,-0.05,2024-08-05 12:54 PM
1750,1,-0.22,-5,-0.22,-0.23,2024-08-05 12:55 PM
1749,90,0.02,13,0.02,0.02,2024-08-05 12:56 PM
1748,-38,-0.08,31,-0.08,-0.08,2024-08-05 12:57 PM
1747,0,0.05,-39,0.03,0.05,2024-08-05 12:58 PM
1746,76,0.11,-12,0.11,0.1,2024-08-05 12:59 PM
1745,-128,-0.04,-12,-0.01,-0.02,2024-08-05 01:00 PM
1744,57,0.12,73,0.09,0.1,2024-08-05 01:01 PM
1743,0,-0.11,-72,-0.1,-0.1,2024-08-05 01:02 PM
1742,-1,-0.09,-1,-0.08,-0.08,2024-08-05 01:03 PM
1741,-57,0.03,123,0.03,0.02,2024-08-05 01:04 PM
1740,0,0.04,-103,0.04,0.05,2024-08-05 01:05 PM
1739,117,-0.03,4,-0.04,-0.04,2024-08-05 01:06 PM
1738,-59,0.04,38,0.04,0.04,2024-08-05 01:07 PM
1737,-1,0.19,31,0.18,0.18,2024-08-05 01:08 PM
1736,-57,0.11,-88,0.13,0.13,2024-08-05 01:09 PM
1735,84,-0.12,-1,-0.13,-0.13,2024-08-05 01:10 PM
1734,-84,0.14,-4,0.15,0.15,2024-08-05 01:11 PM
1733,58,-0.03,21,-0.04,-0.04,2024-08-05 01:12 PM
1732,-5,-0.15,19,-0.14,-0.14,2024-08-05 01:13 PM
1731,-53,-0.14,-26,-0.15,-0.15,2024-08-05 01:14 PM
1730,0,0.22,44,0.22,0.22,2024-08-05 01:15 PM
1729,54,0.09,-23,0.08,0.09,2024-08-05 01:16 PM
1728,-47,0.04,-22,0.05,0.04,2024-08-05 01:17 PM
1727,50,-0.03,91,-0.04,-0.04,2024-08-05 01:18 PM
1726,-57,0.06,-101,0.08,0.07,2024-08-05 01:19 PM
1725,0,-0.02,55,-0.02,-0.02,2024-08-05 01:20 PM
1724,0,0.0,7,-0.01,0.0,2024-08-05 01:21 PM
1723,57,0.13,-58,0.13,0.13,2024-08-05 01:22 PM
1722,-3,0.15,47,0.14,0.15,2024-08-05 01:23 PM
1721,-53,-0.09,-22,-0.08,-0.09,2024-08-05 01:24 PM
1720,67,-0.11,22,-0.12,-0.12,2024-08-05 01:25 PM
1719,-11,0.07,-28,0.09,0.08,2024-08-05 01:26 PM
1718,16,0.25,-17,0.23,0.25,2024-08-05 01:27 PM
1717,27,-0.15,1,-0.15,-0.16,2024-08-05 01:28 PM
1716,-28,-0.17,1,-0.16,-0.16,2024-08-05 01:29 PM
1715,-1,-0.16,47,-0.17,-0.17,2024-08-05 01:30 PM
1714,-53,0.06,0,0.07,0.07,2024-08-05 01:31 PM
1713,16,0.03,19,0.03,0.03,2024-08-05 01:32 PM
1712,2,-0.13,-19,-0.13,-0.13,2024-08-05 01:33 PM
1711,-12,0.16,-20,0.18,0.17,2024-08-05 01:34 PM
1710,-24,0.11,-20,0.11,0.11,2024-08-05 01:35 PM
1709,6,-0.17,47,-0.18,-0.17,2024-08-05 01:36 PM
1708,21,0.03,-8,0.06,0.04,2024-08-05 01:37 PM
1707,-13,0.04,-49,0.02,0.03,2024-08-05 01:38 PM
1706,-8,-0.05,6,-0.05,-0.05,2024-08-05 01:39 PM
1705,4,0.04,0,0.03,0.04,2024-08-05 01:40 PM
1704,12,0.11,-8,0.12,0.11,2024-08-05 01:41 PM
1703,18,0.13,12,0.12,0.13,2024-08-05 01:42 PM
1702,-34,-0.03,-11,-0.02,-0.03,2024-08-05 01:43 PM
1701,10,-0.18,15,-0.18,-0.18,2024-08-05 01:44 PM
1700,51,0.05,22,0.03,0.04,2024-08-05 01:45 PM
1699,-3,-0.06,-38,-0.05,-0.05,2024-08-05 01:46 PM
1698,-63,-0.08,9,-0.07,-0.08,2024-08-05 01:47 PM
1697,73,0.1,-8,0.09,0.09,2024-08-05 01:48 PM
1696,-74,-0.03,7,-0.02,-0.02,2024-08-05 01:49 PM
1695,0,-0.06,51,-0.07,-0.07,2024-08-05 01:50 PM
1694,2,0.05,-42,0.06,0.06,2024-08-05 01:51 PM
1693,4,-0.11,-15,-0.11,-0.11,2024-08-05 01:52 PM
1692,8,0.09,30,0.07,0.08,2024-08-05 01:53 PM
1691,8,-0.01,-16,-0.01,-0.01,2024-08-05 01:54 PM
1690,-13,-0.11,-22,-0.09,-0.1,2024-08-05 01:55 PM
1689,8,0.03,6,0.01,0.02,2024-08-05 01:56 PM
1688,-8,-0.04,28,-0.04,-0.04,2024-08-05 01:57 PM
1687,77,-0.14,-28,-0.15,-0.15,2024-08-05 01:58 PM
1686,-77,-0.1,25,-0.08,-0.09,2024-08-05 01:59 PM
1685,-7,0.08,-21,0.08,0.09,2024-08-05 02:00 PM
1684,51,-0.24,19,-0.24,-0.25,2024-08-05 02:01 PM
1683,6,-0.11,-19,-0.11,-0.1,2024-08-05 02:02 PM
1682,-51,0.06,6,0.06,0.06,2024-08-05 02:03 PM
1681,-8,0.0,-6,0.03,0.01,2024-08-05 02:04 PM
1680,53,-0.07,-2,-0.09,-0.08,2024-08-05 02:05 PM
1679,-53,-0.03,8,-0.03,-0.03,2024-08-05 02:06 PM
1678,0,0.11,37,0.11,0.11,2024-08-05 02:07 PM
1677,55,-0.07,32,-0.08,-0.07,2024-08-05 02:08 PM
1676,-31,0.09,-44,0.09,0.09,2024-08-05 02:09 PM
1675,-17,0.04,-32,0.05,0.04,2024-08-05 02:10 PM
1674,51,-0.17,-6,-0.17,-0.17,2024-08-05 02:11 PM
1673,-1,0.05,32,0.04,0.05,2024-08-05 02:12 PM
1672,-57,0.06,-34,0.07,0.06,2024-08-05 02:13 PM
1671,3,-0.14,31,-0.14,-0.14,2024-08-05 02:14 PM
1670,2,-0.09,7,-0.1,-0.09,2024-08-05 02:15 PM
1669,-5,0.02,-28,0.03,0.02,2024-08-05 02:16 PM
1668,3,0.02,11,0.02,0.02,2024-08-05 02:17 PM
1667,69,0.09,-8,0.08,0.08,2024-08-05 02:18 PM
1666,-60,0.07,0,0.07,0.07,2024-08-05 02:19 PM
1665,-5,-0.01,-13,0.01,0.0,2024-08-05 02:20 PM
1664,51,0.05,5,0.04,0.05,2024-08-05 02:21 PM
1663,4,-0.04,3,-0.04,-0.04,2024-08-05 02:22 PM
1662,-55,-0.12,-2,-0.13,-0.12,2024-08-05 02:23 PM
1661,-7,0.01,1,0.03,0.01,2024-08-05 02:24 PM
1660,0,-0.04,2,-0.04,-0.04,2024-08-05 02:25 PM
1659,96,0.11,-10,0.09,0.11,2024-08-05 02:26 PM
1658,-31,0.06,9,0.07,0.06,2024-08-05 02:27 PM
1657,-5,-0.06,-2,-0.07,-0.06,2024-08-05 02:28 PM
1656,2,0.17,10,0.18,0.17,2024-08-05 02:29 PM
1655,3,-0.04,-10,-0.04,-0.04,2024-08-05 02:30 PM
1654,-64,0.07,0,0.09,0.08,2024-08-05 02:31 PM
1653,61,-0.1,1,-0.13,-0.11,2024-08-05 02:32 PM
1652,-5,0.04,-1,0.06,0.04,2024-08-05 02:33 PM
1651,0,-0.03,8,-0.05,-0.04,2024-08-05 02:34 PM
1650,-50,-0.15,-8,-0.14,-0.14,2024-08-05 02:35 PM
1649,-5,0.02,50,0.02,0.02,2024-08-05 02:36 PM
1648,15,0.14,-50,0.15,0.14,2024-08-05 02:37 PM
1647,40,-0.21,-4,-0.21,-0.2,2024-08-05 02:38 PM
1646,-57,-0.11,18,-0.13,-0.13,2024-08-05 02:39 PM
1645,2,0.02,-19,0.03,0.03,2024-08-05 02:40 PM
1644,51,-0.08,21,-0.09,-0.08,2024-08-05 02:41 PM
1643,-50,0.02,-16,0.02,0.02,2024-08-05 02:42 PM
1642,14,-0.12,1,-0.11,-0.12,2024-08-05 02:43 PM
1641,-17,0.01,47,0.0,0.01,2024-08-05 02:44 PM
1640,67,-0.07,-55,-0.06,-0.07,2024-08-05 02:45 PM
1639,5,-0.11,8,-0.11,-0.11,2024-08-05 02:46 PM
1638,-6,-0.05,-6,-0.05,-0.05,2024-08-05 02:47 PM
1637,-59,0.22,82,0.21,0.21,2024-08-05 02:48 PM
1636,-7,-0.15,-57,-0.13,-0.13,2024-08-05 02:49 PM
