Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
992,66,-0.06,38,-0.07,-0.06,2024-08-07 12:31 PM
991,-33,-0.14,36,-0.14,-0.14,2024-08-07 12:32 PM
990,-16,0.03,-36,0.03,0.02,2024-08-07 12:33 PM
989,31,0.1,-99,0.09,0.1,2024-08-07 12:34 PM
988,34,0.12,72,0.13,0.13,2024-08-07 12:35 PM
987,0,-0.09,-14,-0.09,-0.09,2024-08-07 12:36 PM
986,-44,0.1,-19,0.1,0.09,2024-08-07 12:37 PM
985,10,-0.39,30,-0.39,-0.39,2024-08-07 12:38 PM
984,-19,0.1,-60,0.11,0.11,2024-08-07 12:39 PM
983,-21,-0.11,3,-0.1,-0.1,2024-08-07 12:40 PM
982,-34,0.18,47,0.18,0.18,2024-08-07 12:41 PM
981,95,-0.08,63,-0.09,-0.09,2024-08-07 12:42 PM
980,-21,-0.25,-21,-0.25,-0.25,2024-08-07 12:43 PM
979,19,-0.25,10,-0.25,-0.25,2024-08-07 12:44 PM
978,-2,-0.19,6,-0.18,-0.19,2024-08-07 12:45 PM
977,-115,0.1,3,0.09,0.1,2024-08-07 12:46 PM
976,115,-0.19,94,-0.18,-0.19,2024-08-07 12:47 PM
975,106,-0.22,-115,-0.23,-0.22,2024-08-07 12:48 PM
974,-11,-0.04,27,-0.04,-0.04,2024-08-07 12:49 PM
973,-20,-0.01,87,-0.01,-0.01,2024-08-07 12:50 PM
972,-174,-0.24,-114,-0.22,-0.23,2024-08-07 12:51 PM
971,101,0.18,25,0.17,0.17,2024-08-07 12:52 PM
970,93,-0.17,-4,-0.17,-0.17,2024-08-07 12:53 PM
969,-160,-0.05,-29,-0.03,-0.03,2024-08-07 12:54 PM
968,5,0.06,25,0.06,0.06,2024-08-07 12:55 PM
967,72,0.19,-116,0.17,0.18,2024-08-07 12:56 PM
966,-29,-0.02,128,-0.02,-0.03,2024-08-07 12:57 PM
965,152,0.02,-12,0.02,0.03,2024-08-07 12:58 PM
964,-34,-0.2,-116,-0.19,-0.2,2024-08-07 12:59 PM
963,-178,-0.05,99,-0.04,-0.04,2024-08-07 01:00 PM
962,217,0.17,20,0.15,0.16,2024-08-07 01:01 PM
961,-237,-0.08,-115,-0.15,-0.12,2024-08-07 01:02 PM
960,127,-0.45,96,-0.38,-0.42,2024-08-07 01:03 PM
959,-47,0.25,27,0.26,0.26,2024-08-07 01:04 PM
958,0,-0.09,-25,-0.09,-0.09,2024-08-07 01:05 PM
957,13,-0.05,-94,-0.04,-0.04,2024-08-07 01:06 PM
956,1,0.18,103,0.17,0.17,2024-08-07 01:07 PM
955,-14,-0.02,-3,-0.02,-0.02,2024-08-07 01:08 PM
954,0,-0.18,-58,-0.17,-0.17,2024-08-07 01:09 PM
953,-78,-0.38,-12,-0.38,-0.38,2024-08-07 01:10 PM
952,-20,0.02,122,0.01,0.01,2024-08-07 01:11 PM
951,108,-0.31,-8,-0.31,-0.31,2024-08-07 01:12 PM
950,-10,-0.05,-53,-0.04,-0.04,2024-08-07 01:13 PM
949,28,0.14,34,0.13,0.13,2024-08-07 01:14 PM
948,-56,0.0,-34,0.01,0.0,2024-08-07 01:15 PM
947,2,-0.07,0,-0.07,-0.06,2024-08-07 01:16 PM
946,-72,-0.05,18,-0.05,-0.06,2024-08-07 01:17 PM
945,118,-0.2,-93,-0.2,-0.19,2024-08-07 01:18 PM
944,-80,-0.18,6,-0.18,-0.19,2024-08-07 01:19 PM
943,60,0.16,126,0.15,0.16,2024-08-07 01:20 PM
942,-19,0.22,-133,0.24,0.23,2024-08-07 01:21 PM
941,19,0.04,176,0.02,0.03,2024-08-07 01:22 PM
940,-90,0.05,-50,0.06,0.05,2024-08-07 01:23 PM
939,0,0.17,-20,0.17,0.17,2024-08-07 01:24 PM
938,58,0.04,-30,0.04,0.05,2024-08-07 01:25 PM
937,32,0.24,0,0.26,0.24,2024-08-07 01:26 PM
936,23,0.02,-24,0.0,0.02,2024-08-07 01:27 PM
935,-23,-0.19,-23,-0.19,-0.2,2024-08-07 01:28 PM
934,10,-0.16,47,-0.16,-0.15,2024-08-07 01:29 PM
933,-70,-0.09,50,-0.09,-0.1,2024-08-07 01:30 PM
932,248,0.18,-30,0.17,0.18,2024-08-07 01:31 PM
931,-178,0.1,-20,0.11,0.11,2024-08-07 01:32 PM
930,17,-0.14,9,-0.14,-0.15,2024-08-07 01:33 PM
929,0,-0.08,-99,-0.08,-0.08,2024-08-07 01:34 PM
928,-75,0.29,-1,0.29,0.3,2024-08-07 01:35 PM
927,-21,-0.01,91,-0.01,-0.01,2024-08-07 01:36 PM
926,-2,-0.05,0,-0.04,-0.05,2024-08-07 01:37 PM
925,2,0.22,-60,0.22,0.22,2024-08-07 01:38 PM
924,3,0.03,60,0.02,0.02,2024-08-07 01:39 PM
923,98,-0.19,50,-0.2,-0.19,2024-08-07 01:40 PM
922,0,0.02,-50,0.03,0.03,2024-08-07 01:41 PM
921,-131,-0.24,0,-0.24,-0.25,2024-08-07 01:42 PM
920,19,-0.04,21,-0.05,-0.04,2024-08-07 01:43 PM
919,-10,0.02,160,0.02,0.02,2024-08-07 01:44 PM
918,90,-0.08,-161,-0.08,-0.08,2024-08-07 01:45 PM
917,17,0.01,10,0.02,0.01,2024-08-07 01:46 PM
916,-17,-0.16,-76,-0.17,-0.16,2024-08-07 01:47 PM
915,-99,-0.31,-29,-0.3,-0.31,2024-08-07 01:48 PM
914,99,-0.19,-15,-0.19,-0.19,2024-08-07 01:49 PM
913,-99,-0.01,19,0.0,0.0,2024-08-07 01:50 PM
912,1,0.13,31,0.11,0.12,2024-08-07 01:51 PM
911,6,-0.1,40,-0.09,-0.1,2024-08-07 01:52 PM
910,79,-0.17,-99,-0.18,-0.17,2024-08-07 01:53 PM
909,-75,0.06,100,0.07,0.07,2024-08-07 01:54 PM
908,3,0.08,-1,0.07,0.07,2024-08-07 01:55 PM
907,118,-0.11,-88,-0.11,-0.11,2024-08-07 01:56 PM
906,-79,-0.1,0,-0.1,-0.1,2024-08-07 01:57 PM
905,-42,-0.04,-11,-0.02,-0.03,2024-08-07 01:58 PM
904,0,-0.04,12,-0.05,-0.04,2024-08-07 01:59 PM
903,222,0.17,20,0.15,0.15,2024-08-07 02:00 PM
902,-183,-0.01,10,0.0,0.0,2024-08-07 02:01 PM
901,-39,-0.05,-24,-0.04,-0.04,2024-08-07 02:02 PM
900,33,0.0,78,-0.01,-0.01,2024-08-07 02:03 PM
899,13,-0.09,-93,-0.07,-0.08,2024-08-07 02:04 PM
898,31,-0.01,43,-0.02,-0.01,2024-08-07 02:05 PM
897,58,-0.09,-45,-0.1,-0.1,2024-08-07 02:06 PM
896,-25,0.06,11,0.07,0.06,2024-08-07 02:07 PM
895,-91,-0.31,-12,-0.3,-0.3,2024-08-07 02:08 PM
894,82,0.23,12,0.21,0.22,2024-08-07 02:09 PM
893,-100,-0.15,277,-0.15,-0.15,2024-08-07 02:10 PM
892,87,-0.06,-277,-0.05,-0.05,2024-08-07 02:11 PM
891,-86,-0.13,43,-0.13,-0.14,2024-08-07 02:12 PM
890,17,-0.01,-36,-0.01,-0.01,2024-08-07 02:13 PM
889,83,-0.07,-6,-0.08,-0.07,2024-08-07 02:14 PM
888,-99,-0.13,26,-0.12,-0.12,2024-08-07 02:15 PM
887,85,-0.06,-12,-0.06,-0.06,2024-08-07 02:16 PM
886,0,-0.04,72,-0.05,-0.05,2024-08-07 02:17 PM
885,37,0.17,12,0.17,0.17,2024-08-07 02:18 PM
884,59,-0.26,-72,-0.26,-0.26,2024-08-07 02:19 PM
883,-65,0.12,21,0.12,0.12,2024-08-07 02:20 PM
882,-46,0.02,-5,0.03,0.02,2024-08-07 02:21 PM
881,43,0.12,86,0.11,0.12,2024-08-07 02:22 PM
880,-126,-0.07,-27,-0.06,-0.06,2024-08-07 02:23 PM
879,153,0.12,39,0.11,0.11,2024-08-07 02:24 PM
878,-115,-0.09,-140,-0.07,-0.08,2024-08-07 02:25 PM
877,-12,0.29,86,0.28,0.28,2024-08-07 02:26 PM
876,137,0.03,-5,0.01,0.03,2024-08-07 02:27 PM
875,-141,-0.19,5,-0.17,-0.18,2024-08-07 02:28 PM
874,134,0.0,-24,-0.01,-0.01,2024-08-07 02:29 PM
873,-122,0.0,24,0.01,0.01,2024-08-07 02:30 PM
872,-12,-0.05,-56,-0.05,-0.06,2024-08-07 02:31 PM
871,69,-0.17,-4,-0.17,-0.16,2024-08-07 02:32 PM
870,37,-0.11,95,-0.12,-0.12,2024-08-07 02:33 PM
869,-99,-0.03,-40,-0.03,-0.03,2024-08-07 02:34 PM
868,-16,0.04,62,0.05,0.05,2024-08-07 02:35 PM
867,0,0.02,-22,0.03,0.02,2024-08-07 02:36 PM
866,77,-0.04,-134,-0.05,-0.05,2024-08-07 02:37 PM
865,203,0.11,14,0.11,0.12,2024-08-07 02:38 PM
864,-195,-0.1,25,-0.1,-0.1,2024-08-07 02:39 PM
863,27,0.09,56,0.09,0.09,2024-08-07 02:40 PM
862,-112,0.14,39,0.14,0.13,2024-08-07 02:41 PM
861,-1,0.04,-21,0.04,0.05,2024-08-07 02:42 PM
860,0,-0.06,17,-0.07,-0.07,2024-08-07 02:43 PM
859,45,-0.16,-116,-0.14,-0.15,2024-08-07 02:44 PM
858,-19,0.0,0,-0.01,-0.01,2024-08-07 02:45 PM
857,-15,0.03,4,0.03,0.04,2024-08-07 02:46 PM
856,-10,0.08,-4,0.08,0.07,2024-08-07 02:47 PM
855,-13,-0.4,1,-0.4,-0.39,2024-08-07 02:48 PM
854,163,-0.06,48,-0.07,-0.07,2024-08-07 02:49 PM
853,15,0.17,36,0.16,0.17,2024-08-07 02:50 PM
852,-27,-0.01,-40,0.0,-0.01,2024-08-07 02:51 PM
851,-129,-0.21,116,-0.21,-0.21,2024-08-07 02:52 PM
850,25,0.09,-149,0.1,0.09,2024-08-07 02:53 PM
849,-18,0.11,40,0.1,0.11,2024-08-07 02:54 PM
848,11,-0.1,158,-0.1,-0.1,2024-08-07 02:55 PM
847,-36,0.16,-210,0.18,0.17,2024-08-07 02:56 PM
846,9,-0.04,-13,-0.05,-0.05,2024-08-07 02:57 PM
845,-9,-0.01,13,0.0,0.0,2024-08-07 02:58 PM
844,14,0.07,0,0.07,0.07,2024-08-07 02:59 PM
843,20,-0.14,64,-0.16,-0.15,2024-08-07 03:00 PM
842,149,0.0,-60,0.0,0.0,2024-08-07 03:01 PM
841,-161,0.07,160,0.07,0.07,2024-08-07 03:02 PM
840,-27,0.42,-126,0.43,0.42,2024-08-07 03:03 PM
839,116,0.16,-40,0.15,0.16,2024-08-07 03:04 PM
838,-105,0.17,90,0.17,0.17,2024-08-07 03:05 PM
837,0,0.01,-101,0.02,0.01,2024-08-07 03:06 PM
836,-11,0.02,1,0.02,0.02,2024-08-07 03:07 PM
835,27,-0.29,97,-0.3,-0.29,2024-08-07 03:08 PM
834,8,0.2,-87,0.21,0.2,2024-08-07 03:09 PM
833,-23,-0.12,3,-0.12,-0.11,2024-08-07 03:10 PM
832,41,0.12,99,0.11,0.11,2024-08-07 03:11 PM
831,-42,0.05,-103,0.06,0.06,2024-08-07 03:12 PM
830,4,-0.05,0,-0.05,-0.06,2024-08-07 03:13 PM
829,63,-0.24,1,-0.25,-0.24,2024-08-07 03:14 PM
828,-7,-0.03,66,-0.04,-0.03,2024-08-07 03:15 PM
827,-59,0.15,-66,0.17,0.16,2024-08-07 03:16 PM
826,62,-0.08,0,-0.09,-0.09,2024-08-07 03:17 PM
825,-62,0.14,0,0.15,0.14,2024-08-07 03:18 PM
824,56,0.06,-1,0.06,0.06,2024-08-07 03:19 PM
823,95,0.05,0,0.04,0.05,2024-08-07 03:20 PM
822,-66,0.26,0,0.27,0.27,2024-08-07 03:21 PM
821,-45,-0.36,3,-0.37,-0.37,2024-08-07 03:22 PM
820,-17,-0.06,116,-0.05,-0.05,2024-08-07 03:23 PM
819,-11,-0.06,-116,-0.06,-0.07,2024-08-07 03:24 PM
818,75,0.07,24,0.05,0.07,2024-08-07 03:25 PM
817,2,-0.05,-24,-0.04,-0.05,2024-08-07 03:26 PM
816,-54,-0.06,33,-0.06,-0.06,2024-08-07 03:27 PM
815,-43,-0.12,-47,-0.11,-0.12,2024-08-07 03:28 PM
814,23,0.15,15,0.15,0.15,2024-08-07 03:29 PM
813,-5,0.08,-1,0.08,0.08,2024-08-07 03:30 PM
812,7,-0.16,1,-0.17,-0.16,2024-08-07 03:31 PM
811,-4,-0.04,55,-0.03,-0.03,2024-08-07 03:32 PM
810,16,0.29,-56,0.29,0.28,2024-08-07 03:33 PM
809,-31,-0.01,101,-0.02,-0.01,2024-08-07 03:34 PM
808,39,-0.17,-97,-0.17,-0.17,2024-08-07 03:35 PM
807,7,0.03,1,0.03,0.03,2024-08-07 03:36 PM
806,-54,0.18,2,0.2,0.19,2024-08-07 03:37 PM
805,11,0.04,-2,0.03,0.04,2024-08-07 03:38 PM
804,26,-0.14,7,-0.15,-0.15,2024-08-07 03:39 PM
803,-2,-0.09,-8,-0.09,-0.09,2024-08-07 03:40 PM
802,-11,-0.14,49,-0.14,-0.14,2024-08-07 03:41 PM
801,-11,0.13,71,0.13,0.13,2024-08-07 03:42 PM
800,116,-0.13,-34,-0.14,-0.14,2024-08-07 03:43 PM
799,-101,-0.09,-40,-0.08,-0.08,2024-08-07 03:44 PM
798,45,0.02,68,0.01,0.02,2024-08-07 03:45 PM
797,-60,0.01,-117,0.03,0.02,2024-08-07 03:46 PM
796,13,0.25,133,0.23,0.24,2024-08-07 03:47 PM
795,40,-0.08,-133,-0.07,-0.08,2024-08-07 03:48 PM
794,-54,0.02,0,0.03,0.02,2024-08-07 03:49 PM
793,2,0.0,-15,-0.03,-0.01,2024-08-07 03:50 PM
792,83,-0.44,90,-0.44,-0.44,2024-08-07 03:51 PM
791,-26,-0.12,-86,-0.11,-0.12,2024-08-07 03:52 PM
790,-57,0.03,86,0.04,0.04,2024-08-07 03:53 PM
789,5,-0.02,-27,-0.03,-0.03,2024-08-07 03:54 PM
788,-4,-0.28,64,-0.29,-0.28,2024-08-07 03:55 PM
787,130,-0.17,-125,-0.16,-0.16,2024-08-07 03:56 PM
786,-128,-0.06,158,-0.05,-0.06,2024-08-07 03:57 PM
785,8,0.02,-159,0.03,0.02,2024-08-07 03:58 PM
784,-23,-0.02,24,-0.03,-0.02,2024-08-07 03:59 PM
783,-4,0.08,10,0.07,0.08,2024-08-07 04:00 PM
782,-1,-3.75,-36,-3.7,-3.73,2024-08-08 09:30 AM
781,50,5.58,1,5.53,5.55,2024-08-08 09:31 AM
780,29,-0.24,99,-0.24,-0.24,2024-08-08 09:32 AM
779,-78,-0.19,155,-0.19,-0.19,2024-08-08 09:33 AM
778,130,0.04,-155,0.04,0.05,2024-08-08 09:34 AM
777,235,0.23,-99,0.23,0.22,2024-08-08 09:35 AM
776,-249,0.08,120,0.08,0.08,2024-08-08 09:36 AM
775,-4,0.1,-9,0.11,0.11,2024-08-08 09:37 AM
774,-13,-0.51,-12,-0.51,-0.51,2024-08-08 09:38 AM
773,0,0.19,0,0.19,0.19,2024-08-08 09:39 AM
772,18,-0.02,24,-0.03,-0.03,2024-08-08 09:40 AM
771,-21,-0.21,-24,-0.2,-0.2,2024-08-08 09:41 AM
770,-58,0.32,124,0.32,0.32,2024-08-08 09:42 AM
769,-38,0.09,-124,0.1,0.1,2024-08-08 09:43 AM
768,99,-0.06,0,-0.07,-0.07,2024-08-08 09:44 AM
767,-55,-0.41,-29,-0.4,-0.41,2024-08-08 09:45 AM
766,55,0.24,29,0.23,0.24,2024-08-08 09:46 AM
765,-60,0.09,0,0.09,0.09,2024-08-08 09:47 AM
764,0,-0.53,24,-0.51,-0.52,2024-08-08 09:48 AM
763,113,-0.25,-24,-0.26,-0.25,2024-08-08 09:49 AM
762,-67,0.14,37,0.13,0.13,2024-08-08 09:50 AM
761,-49,0.02,-105,0.03,0.03,2024-08-08 09:51 AM
760,-22,0.18,5,0.18,0.18,2024-08-08 09:52 AM
759,48,0.46,28,0.45,0.45,2024-08-08 09:53 AM
758,37,0.16,-25,0.18,0.17,2024-08-08 09:54 AM
757,-76,0.35,60,0.33,0.34,2024-08-08 09:55 AM
756,21,0.05,-99,0.05,0.05,2024-08-08 09:56 AM
755,55,-0.12,39,-0.14,-0.13,2024-08-08 09:57 AM
754,-98,0.03,60,0.04,0.04,2024-08-08 09:58 AM
753,188,0.08,0,0.09,0.08,2024-08-08 09:59 AM
752,-188,0.34,-1,0.33,0.34,2024-08-08 10:00 AM
751,-1,0.18,-73,0.16,0.17,2024-08-08 10:01 AM
750,39,0.04,86,0.04,0.04,2024-08-08 10:02 AM
749,12,0.44,-60,0.45,0.44,2024-08-08 10:03 AM
748,74,0.05,-50,0.03,0.04,2024-08-08 10:04 AM
747,-66,-0.01,0,0.01,0.0,2024-08-08 10:05 AM
746,-58,-0.19,10,-0.19,-0.19,2024-08-08 10:06 AM
745,83,-0.17,-10,-0.16,-0.17,2024-08-08 10:07 AM
744,-45,0.01,63,0.0,0.01,2024-08-08 10:08 AM
743,49,-0.03,-13,-0.03,-0.03,2024-08-08 10:09 AM
742,-64,0.26,65,0.25,0.26,2024-08-08 10:10 AM
741,27,-0.02,-115,0.0,-0.01,2024-08-08 10:11 AM
740,-12,-0.35,-1,-0.36,-0.36,2024-08-08 10:12 AM
739,44,0.4,0,0.41,0.4,2024-08-08 10:13 AM
738,-3,0.07,124,0.05,0.07,2024-08-08 10:14 AM
737,28,0.04,-73,0.05,0.04,2024-08-08 10:15 AM
736,-69,0.03,48,0.02,0.03,2024-08-08 10:16 AM
735,26,0.35,-98,0.36,0.35,2024-08-08 10:17 AM
734,-56,0.12,4,0.12,0.12,2024-08-08 10:18 AM
733,10,-0.37,-4,-0.36,-0.37,2024-08-08 10:19 AM
732,75,-0.02,103,-0.04,-0.02,2024-08-08 10:20 AM
731,-38,-0.18,18,-0.18,-0.19,2024-08-08 10:21 AM
730,-45,0.03,-83,0.04,0.04,2024-08-08 10:22 AM
729,14,0.19,3,0.17,0.18,2024-08-08 10:23 AM
728,-8,-0.09,57,-0.07,-0.08,2024-08-08 10:24 AM
727,22,0.35,-98,0.35,0.35,2024-08-08 10:25 AM
726,110,0.18,138,0.16,0.17,2024-08-08 10:26 AM
725,-110,0.23,-138,0.25,0.24,2024-08-08 10:27 AM
724,-28,-0.06,58,-0.07,-0.07,2024-08-08 10:28 AM
723,53,0.17,-20,0.17,0.17,2024-08-08 10:29 AM
722,-63,0.15,60,0.14,0.15,2024-08-08 10:30 AM
721,0,-0.05,-60,-0.04,-0.04,2024-08-08 10:31 AM
720,38,-0.21,60,-0.21,-0.22,2024-08-08 10:32 AM
719,60,-0.04,41,-0.05,-0.04,2024-08-08 10:33 AM
718,0,-0.06,-41,-0.05,-0.06,2024-08-08 10:34 AM
717,-60,0.18,23,0.18,0.18,2024-08-08 10:35 AM
716,-24,0.02,-63,0.03,0.03,2024-08-08 10:36 AM
715,-14,0.23,-13,0.22,0.22,2024-08-08 10:37 AM
714,158,-0.03,81,-0.04,-0.03,2024-08-08 10:38 AM
713,-132,0.11,-10,0.12,0.11,2024-08-08 10:39 AM
712,12,-0.24,-40,-0.24,-0.23,2024-08-08 10:40 AM
711,0,0.11,50,0.1,0.1,2024-08-08 10:41 AM
710,60,0.01,-127,0.04,0.03,2024-08-08 10:42 AM
709,-99,-0.38,59,-0.39,-0.39,2024-08-08 10:43 AM
708,1,0.12,40,0.11,0.12,2024-08-08 10:44 AM
707,94,-0.26,0,-0.26,-0.27,2024-08-08 10:45 AM
706,14,0.04,0,0.05,0.05,2024-08-08 10:46 AM
705,9,0.37,20,0.36,0.37,2024-08-08 10:47 AM
704,-59,0.1,-20,0.11,0.1,2024-08-08 10:48 AM
703,-56,0.06,-40,0.08,0.07,2024-08-08 10:49 AM
702,-2,0.24,106,0.21,0.22,2024-08-08 10:50 AM
701,98,-0.07,-66,-0.06,-0.06,2024-08-08 10:51 AM
700,-60,-0.1,0,-0.11,-0.11,2024-08-08 10:52 AM
699,80,0.16,0,0.16,0.16,2024-08-08 10:53 AM
698,-118,-0.26,29,-0.26,-0.26,2024-08-08 10:54 AM
697,0,-0.06,-69,-0.05,-0.05,2024-08-08 10:55 AM
696,116,-0.03,78,-0.04,-0.03,2024-08-08 10:56 AM
695,-18,-0.03,-14,-0.03,-0.04,2024-08-08 10:57 AM
694,28,0.16,-122,0.17,0.17,2024-08-08 10:58 AM
693,-127,0.03,126,0.03,0.03,2024-08-08 10:59 AM
692,127,0.12,-3,0.09,0.1,2024-08-08 11:00 AM
691,-28,-0.23,44,-0.21,-0.22,2024-08-08 11:01 AM
690,0,-0.15,-167,-0.14,-0.14,2024-08-08 11:02 AM
689,0,0.14,80,0.14,0.14,2024-08-08 11:03 AM
688,24,0.06,18,0.05,0.05,2024-08-08 11:04 AM
687,4,0.05,28,0.05,0.06,2024-08-08 11:05 AM
686,-126,0.1,-28,0.1,0.1,2024-08-08 11:06 AM
685,108,-0.14,-40,-0.14,-0.15,2024-08-08 11:07 AM
684,-10,-0.12,50,-0.11,-0.11,2024-08-08 11:08 AM
683,22,0.05,-108,0.04,0.04,2024-08-08 11:09 AM
682,-22,0.1,122,0.1,0.11,2024-08-08 11:10 AM
681,-98,-0.32,-2,-0.31,-0.32,2024-08-08 11:11 AM
680,0,-0.39,4,-0.39,-0.39,2024-08-08 11:12 AM
679,-1,-0.14,-125,-0.13,-0.13,2024-08-08 11:13 AM
678,121,0.07,120,0.06,0.06,2024-08-08 11:14 AM
677,-11,-0.17,-112,-0.17,-0.17,2024-08-08 11:15 AM
676,-11,0.15,84,0.16,0.15,2024-08-08 11:16 AM
675,0,-0.19,7,-0.19,-0.18,2024-08-08 11:17 AM
674,0,0.05,-45,0.05,0.05,2024-08-08 11:18 AM
673,-99,0.11,-53,0.11,0.11,2024-08-08 11:19 AM
672,39,-0.14,25,-0.15,-0.15,2024-08-08 11:20 AM
671,0,0.38,13,0.38,0.38,2024-08-08 11:21 AM
670,96,0.03,93,0.02,0.03,2024-08-08 11:22 AM
669,-76,0.16,-72,0.17,0.16,2024-08-08 11:23 AM
668,0,0.2,39,0.2,0.2,2024-08-08 11:24 AM
667,-58,0.15,0,0.14,0.14,2024-08-08 11:25 AM
